               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.064388,            0.069357,                   0,             0.40947,             0.50265,             0.39865,             0.15509,            0.065598,            0.060382,                   0,           0.0026667,           0.0026667,           0.0026667
                 102,            0.067415,             0.10636,                   0,             0.40947,             0.50265,             0.39865,             0.15509,            0.065598,            0.060382,                   0,           0.0025933,           0.0025933,           0.0025933
                 103,            0.064747,            0.066946,                   0,             0.42549,             0.51587,             0.45063,             0.16917,            0.064103,            0.059879,                   0,             0.00252,             0.00252,             0.00252
                 104,            0.062696,            0.076731,                   0,             0.42549,             0.51587,             0.45063,             0.16917,            0.064103,            0.059879,                   0,           0.0024467,           0.0024467,           0.0024467
                 105,             0.06222,            0.085169,                   0,             0.42383,             0.51181,             0.45016,             0.18299,            0.062941,            0.060083,                   0,           0.0023733,           0.0023733,           0.0023733
                 106,            0.062799,            0.080119,                   0,             0.42383,             0.51181,             0.45016,             0.18299,            0.062941,            0.060083,                   0,              0.0023,              0.0023,              0.0023
                 107,            0.065596,            0.077949,                   0,             0.43167,             0.57407,             0.46455,             0.18174,            0.062408,            0.059513,                   0,           0.0022267,           0.0022267,           0.0022267
                 108,            0.062411,            0.085762,                   0,             0.43167,             0.57407,             0.46455,             0.18174,            0.062408,            0.059513,                   0,           0.0021533,           0.0021533,           0.0021533
                 109,            0.063077,             0.08426,                   0,             0.49239,             0.56349,             0.50153,             0.20043,            0.060964,            0.059382,                   0,             0.00208,             0.00208,             0.00208
                 110,            0.061472,            0.075378,                   0,             0.49239,             0.56349,             0.50153,             0.20043,            0.060964,            0.059382,                   0,           0.0020067,           0.0020067,           0.0020067
                 111,            0.061491,            0.085275,                   0,             0.50492,              0.5582,             0.51346,             0.20946,            0.060405,            0.059474,                   0,           0.0019333,           0.0019333,           0.0019333
                 112,            0.062811,            0.077394,                   0,             0.50492,              0.5582,             0.51346,             0.20946,            0.060405,            0.059474,                   0,             0.00186,             0.00186,             0.00186
                 113,            0.060878,             0.08219,                   0,             0.50928,             0.56878,              0.5309,             0.22314,            0.059333,             0.05939,                   0,           0.0017867,           0.0017867,           0.0017867
                 114,            0.060288,            0.084131,                   0,             0.50928,             0.56878,              0.5309,             0.22314,            0.059333,             0.05939,                   0,           0.0017133,           0.0017133,           0.0017133
                 115,            0.061507,            0.075182,                   0,             0.49029,              0.5873,              0.5233,             0.21187,            0.060304,            0.058825,                   0,             0.00164,             0.00164,             0.00164
                 116,            0.062254,            0.079343,                   0,             0.49029,              0.5873,              0.5233,             0.21187,            0.060304,            0.058825,                   0,           0.0015667,           0.0015667,           0.0015667
                 117,            0.057135,            0.064371,                   0,             0.51003,             0.61961,             0.56015,             0.23192,            0.058415,            0.058624,                   0,           0.0014933,           0.0014933,           0.0014933
                 118,            0.065137,            0.089539,                   0,             0.51003,             0.61961,             0.56015,             0.23192,            0.058415,            0.058624,                   0,             0.00142,             0.00142,             0.00142
                 119,            0.058884,            0.083842,                   0,              0.5078,             0.62775,             0.56293,             0.23913,            0.057264,            0.058321,                   0,           0.0013467,           0.0013467,           0.0013467
                 120,            0.059454,            0.087925,                   0,              0.5078,             0.62775,             0.56293,             0.23913,            0.057264,            0.058321,                   0,           0.0012733,           0.0012733,           0.0012733
                 121,            0.061929,            0.089302,                   0,             0.48517,             0.59788,             0.53473,             0.21489,             0.05828,            0.057723,                   0,              0.0012,              0.0012,              0.0012
                 122,            0.065939,            0.093332,                   0,             0.48517,             0.59788,             0.53473,             0.21489,             0.05828,            0.057723,                   0,           0.0011267,           0.0011267,           0.0011267
                 123,            0.057399,            0.078514,                   0,             0.48251,             0.64286,             0.56176,             0.23856,            0.056543,            0.057737,                   0,           0.0010533,           0.0010533,           0.0010533
                 124,            0.059176,            0.072828,                   0,             0.48251,             0.64286,             0.56176,             0.23856,            0.056543,            0.057737,                   0,             0.00098,             0.00098,             0.00098
                 125,            0.059025,            0.067947,                   0,             0.52297,             0.65255,             0.59149,              0.2612,            0.055567,            0.057822,                   0,          0.00090667,          0.00090667,          0.00090667
                 126,            0.060553,            0.087655,                   0,             0.52297,             0.65255,             0.59149,              0.2612,            0.055567,            0.057822,                   0,          0.00083333,          0.00083333,          0.00083333
                 127,              0.0585,            0.090336,                   0,             0.52308,             0.65286,             0.59404,             0.26154,            0.055012,             0.05773,                   0,             0.00076,             0.00076,             0.00076
                 128,            0.056783,             0.07701,                   0,             0.52308,             0.65286,             0.59404,             0.26154,            0.055012,             0.05773,                   0,          0.00068667,          0.00068667,          0.00068667
                 129,            0.061139,             0.07686,                   0,             0.52394,             0.65608,             0.60356,             0.27018,            0.054659,            0.057641,                   0,          0.00061333,          0.00061333,          0.00061333
                 130,            0.058298,            0.093041,                   0,             0.52394,             0.65608,             0.60356,             0.27018,            0.054659,            0.057641,                   0,             0.00054,             0.00054,             0.00054
                 131,            0.060437,            0.081192,                   0,             0.53699,             0.64125,             0.60738,             0.27033,            0.054424,            0.057484,                   0,          0.00046667,          0.00046667,          0.00046667
                 132,            0.054063,            0.076386,                   0,             0.53699,             0.64125,             0.60738,             0.27033,            0.054424,            0.057484,                   0,          0.00039333,          0.00039333,          0.00039333
                 133,             0.06077,            0.088716,                   0,             0.54968,             0.63939,             0.61329,             0.27313,            0.054252,            0.057433,                   0,             0.00032,             0.00032,             0.00032
                 134,            0.060483,            0.083593,                   0,             0.54968,             0.63939,             0.61329,             0.27313,            0.054252,            0.057433,                   0,          0.00024667,          0.00024667,          0.00024667
